date,work_id,doi,title,publication_year,type,source,citations,included_in_curated
2026-08-31,W2004956959,https://doi.org/10.1016/0261-2194(88)90007-5,Cowpea seed treatment with carbosulfan: potential for control of seedling pests,1988,article,Crop Protection,10,False
2026-08-31,W2319794099,https://doi.org/10.1093/jmedent/33.1.177,Attraction and Trapping of Aedes aegypti (Diptera: Culicidae) with Host Odors in the Laboratory,1996,article,Journal of Medical Entomology,17,False
2026-08-31,W2802825342,https://doi.org/10.1016/j.cropro.2018.04.011,Terpene based biopesticides as potential alternatives to synthetic insecticides for control of aphid pests on protected ornamentals,2018,article,Crop Protection,72,True
2026-08-31,W2956372050,https://doi.org/10.1002/ps.5545,"Catch me if you can: the influence of refuge / trap design, previous feeding experience, and semiochemical lures on vine weevil (Coleoptera: Curculionidae) monitoring success",2019,article,Pest Management Science,11,True
2026-08-31,W2978978878,https://doi.org/10.1101/789172,Feeding status influences adult vine weevil (coleoptera: curculionidae) behaviour to conspecific volatiles,2019,preprint,bioRxiv (Cold Spring Harbor Laboratory),0,True
2026-08-31,W2982285174,https://doi.org/10.1007/s10886-019-01108-x,"Electrophysiological and Behavioral Responses of Adult Vine Weevil, Otiorhynchus sulcatus (Coleoptera: Curculionidae), to Host Plant Odors",2019,article,Journal of Chemical Ecology,17,True
2026-08-31,W2996775031,https://doi.org/10.1007/s11032-019-1089-x,Quantitative trait loci (QTLs) linked with root growth in lettuce (Lactuca sativa) seedlings,2019,article,Molecular Breeding,5,False
2026-08-31,W3007560514,https://doi.org/10.1111/aab.12587,Vertical farming systems bring new considerations for pest and disease management,2020,article,Annals of Applied Biology,80,True
2026-08-31,W3016131663,https://doi.org/10.1007/s10886-020-01172-8,Behavioural and Electrophysiological Responses of Female Anopheles gambiae Mosquitoes to Volatiles from a Mango Bait,2020,article,Journal of Chemical Ecology,43,True
2026-08-31,W3133540425,https://doi.org/10.22004/ag.econ.308162,Feasibility of Autonomous Equipment for Biopesticide Application,2020,preprint,RePEc: Research Papers in Economics,0,True
